dtkk4zx,dtkmmnd,2.000000
dtkk4zx,dtko1nq,1.000000
dtkk4zx,dtkobtp,1.000000
dtkk4zx,dtkoicj,2.000000
dtkk4zx,dtkoy1k,2.000000
dtkk4zx,dtkp0mp,2.000000
dtkk4zx,dtkp2ep,1.000000
dtkk4zx,dtkpaic,2.000000
dtkk4zx,dtkpo4c,1.000000
dtkk4zx,dtkpu7o,0.000000
dtkk4zx,dtkpylt,2.000000
dtkk4zx,dtkq5hc,2.000000
dtkk4zx,dtkqgux,2.000000
dtkk4zx,dtkquyx,1.000000
dtkk4zx,dtkqxgp,2.000000
dtkk4zx,dtkqxzn,1.000000
dtkk4zx,dtkr084,2.000000
dtkk4zx,dtkrw1y,1.000000
dtkk4zx,dtks2r8,1.000000
dtkk4zx,dtksaye,2.000000
dtkk4zx,dtksdhg,0.000000
dtkk4zx,dtkt6bq,1.000000
dtkk4zx,dtkthuz,2.000000
dtkk4zx,dtktjw0,1.000000
dtkk4zx,dtktnnd,1.000000
dtkk4zx,dtktphh,0.000000
dtkk4zx,dtku7w6,1.000000
dtkk4zx,dtkwg9j,2.000000
dtkk4zx,dtkwjht,2.000000
dtkk4zx,dtkxnel,2.000000
dtkk4zx,dtkxpgv,1.000000
dtkk4zx,dtkysxk,2.000000
dtkk4zx,dtkzwmj,2.000000
dtkk4zx,dtl0vkr,1.000000
dtkk4zx,dtl0xec,2.000000
dtkk4zx,dtl1d90,1.000000
dtkk4zx,dtl22q7,1.000000
dtkk4zx,dtl2cpl,2.000000
dtkk4zx,dtl2uz1,2.000000
dtkk4zx,dtl3636,2.000000
dtkk4zx,dtl3tz4,1.000000
dtkk4zx,dtl616n,2.000000
dtkk4zx,dtl7cgk,1.000000
dtkk4zx,dtlcp7l,1.000000
dtkk4zx,dtlf4gv,2.000000
dtkk4zx,dtlmvge,2.000000
dtkk4zx,dtlok4k,1.000000
dtkk4zx,dtlqatq,1.000000
dtkk4zx,dtlthm3,1.000000
dtkk4zx,dtlus7l,1.000000
dtmena4,dtmez5e,1.000000
dtmena4,dtmgml9,1.500000
dtmena4,dtmhjht,1.000000
dtmena4,dtmke6p,0.000000
dtmena4,dtmmi9v,0.500000
dtmena4,dtmof39,0.000000
dtmena4,dtmohpu,1.000000
dtmena4,dtmohrc,0.000000
dtmena4,dtmp7dg,0.000000
dtmena4,dtmi2es,-0.666667
dtmena4,dtmteu3,0.000000
dtmena4,dtmtlzs,0.500000
dtmena4,dtmi2p2,0.666667
dtmena4,dtmicnm,1.333333
dtmena4,dtmidg3,0.000000
